"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3.322123292E0;-1.925638095E0;3.437010317E0;1.797402517E0
3.332084292E0;-1.696933465E0;3.498249961E0;1.718680575E0
3.342046292E0;-1.519096832E0;3.352747262E0;1.430952249E0
3.352007292E0;-1.430641323E0;2.863124812E0;1.191128992E0
3.361969292E0;-1.407222494E0;1.936380308E0;6.790386155E-1
3.371931292E0;-1.106783637E0;1.009695445E0;-2.552270164E-1
3.381892292E0;-5.248437381E-1;2.719130695E-2;-1.409601141E0
3.391854292E0;1.490683311E-1;-1.112512885E0;-2.699864412E0
3.401815292E0;7.848242484E-1;-2.340546286E0;-4.246936809E0
3.411777292E0;1.423888082E0;-3.446599166E0;-6.212665461E0
3.421739292E0;2.071589276E0;-4.637619692E0;-8.915554930E0
3.431700292E0;3.295684285E0;-5.303673688E0;-1.040124472E1
3.441662292E0;4.559494459E0;-5.259228417E0;-9.184698758E0
3.451623292E0;4.595123298E0;-4.802208288E0;-5.956071512E0
3.461585292E0;3.324875924E0;-3.804467475E0;-2.288785271E0
3.471546292E0;2.007850971E0;-2.349766175E0;-3.430805545E-1
3.481508292E0;1.207279294E0;-8.208204389E-1;-2.337189107E-1
3.491470292E0;1.054080343E0;6.986633331E-1;-1.135869149E0
3.501431292E0;8.666345429E-1;1.062869439E0;-1.574824452E0
3.511393292E0;-2.763205545E-1;-1.067453656E0;-4.946544175E-1
3.521354292E0;-1.686529221E0;-4.507945406E0;6.660551655E-1
3.531316292E0;-3.019003688E0;-7.350985032E0;1.517061417E0
3.541278292E0;-4.638704351E0;-9.509730858E0;3.377566061E0
3.551239292E0;-5.954095153E0;-9.940746081E0;4.078941333E0
3.561201542E0;-5.591858389E0;-7.368436047E0;3.121916145E0
3.571162542E0;-2.532208074E0;-1.089711083E0;2.553781961E0
3.581124542E0;-8.818476824E-1;3.885487665E0;2.671356312E0
3.591085542E0;-4.791093023E-1;6.409537119E0;2.884349036E0
3.601047542E0;8.009866834E-2;8.164060249E0;3.273525384E0
3.611009542E0;6.895736901E-1;9.350943285E0;4.220403314E0
3.620970542E0;4.400136490E-1;9.315472321E0;5.045528473E0
3.630932542E0;-5.202691689E-1;8.436474425E0;4.458614202E0
3.640893542E0;-1.464072487E0;6.726346280E0;3.214601530E0
3.650855542E0;-2.052642543E0;4.346648793E0;2.556463787E0
3.660816542E0;-2.612590625E0;1.797852167E0;2.577748529E0
3.670778542E0;-3.002997227E0;-6.278658307E-1;3.128363285E0
3.680740542E0;-2.901604169E0;-3.145960481E0;3.711269875E0
3.690701542E0;-2.618827265E0;-5.113228705E0;3.863906761E0
3.700663542E0;-1.899683475E0;-6.205540629E0;3.640007519E0
3.710624542E0;-6.484035909E-2;-5.617592570E0;3.735726439E0
3.720586542E0;2.494457281E0;-3.176449617E0;3.811709837E0
3.730547542E0;4.028843266E0;-4.500362152E-1;2.826299633E0
3.740509542E0;4.144909035E0;1.460365498E0;8.683068466E-1
3.750471542E0;3.616125736E0;2.634923773E0;-3.548178166E-1
3.760432542E0;2.959299231E0;2.638401112E0;2.450848746E-1
3.770394542E0;1.865530180E0;2.455151712E0;1.524439872E0
3.780355542E0;2.447586000E-2;2.058833283E0;1.994547824E0
3.790317542E0;-1.554649804E0;1.631125830E0;1.773267549E0
3.800278542E0;-2.209419259E0;1.084705281E0;1.100498026E0
3.810240542E0;-2.323053170E0;2.520875001E-1;-3.396244115E-1
3.820202542E0;-1.942646769E0;-6.072082025E-1;-1.771783526E0
3.830163542E0;-1.090807436E0;-1.293530987E0;-3.114511816E0
3.840125542E0;-2.850166798E-2;-1.503960584E0;-4.235545263E0
3.850086542E0;7.903810036E-1;-1.668051581E0;-4.385428112E0
3.860048542E0;1.276452147E0;-1.648226012E0;-3.425326996E0
3.870010542E0;1.826991182E0;-8.017643631E-1;-2.161376488E0
3.879971542E0;2.273923403E0;2.290377760E-1;-7.931199856E-1
3.889933542E0;1.985574687E0;3.937895089E-1;9.561361188E-1
3.899894542E0;2.015853909E0;6.008563721E-1;1.689064574E0
3.909856542E0;2.079933545E0;8.056404823E-1;1.356454629E0
3.919817542E0;1.948460070E0;7.966059494E-1;7.371808429E-1
3.929779542E0;1.535163081E0;4.117486471E-1;6.885447264E-2
3.939741542E0;1.059339475E0;-4.860614955E-2;-3.975065839E-1
3.949702542E0;7.139964867E-1;-4.373512655E-1;-6.025378852E-1
3.959664542E0;5.142646632E-1;-8.957367200E-1;-7.287343937E-1
