"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2.353215750E0;4.103416901E0;-7.273075562E0;-3.308120728E-2
2.363248750E0;3.601959686E0;-7.361092529E0;4.471202087E-1
2.373280750E0;3.553460541E0;-7.280410309E0;1.191222839E0
2.383312750E0;3.717669067E0;-6.812633057E0;7.021897888E-1
2.393345750E0;3.329825592E0;-6.216871948E0;-5.987548828E-2
2.403377750E0;2.737357635E0;-5.673352203E0;-9.845027161E-1
2.413410750E0;2.609074402E0;-5.191803589E0;-1.893562317E0
2.423442750E0;1.409019928E0;-5.754034424E0;-2.901865540E0
2.433475750E0;-1.432820435E0;-6.111491089E0;-3.637435913E0
2.443507750E0;1.174158325E0;-5.129233704E0;-1.035546570E0
2.453539750E0;3.143014069E0;-4.163741455E0;-3.183130646E0
2.463572750E0;4.798421631E0;-6.097869415E0;-1.179547119E0
2.473604750E0;4.024530945E0;-7.606432343E0;-2.093097382E0
2.483637750E0;5.199138336E0;-7.667804718E0;-1.529219971E0
2.493669750E0;5.600004730E0;-8.139174500E0;-1.303938446E0
2.503702750E0;5.418282623E0;-9.019344177E0;-8.875044250E-1
2.513734750E0;5.009333038E0;-9.558223572E0;-5.246589661E-1
2.523767750E0;4.794080658E0;-1.021251297E1;-2.085163879E-1
2.533799750E0;4.807552643E0;-1.076276871E1;5.381309509E-1
2.543831750E0;4.740791473E0;-1.099014587E1;1.462608490E0
2.553864750E0;4.436174927E0;-1.132080826E1;2.097588043E0
2.563896750E0;4.094435577E0;-1.153381531E1;2.816992035E0
2.573929750E0;3.721710663E0;-1.182885178E1;3.103047180E0
2.583961750E0;3.399430847E0;-1.202763840E1;2.907553711E0
2.593994750E0;3.954776001E0;-1.175445648E1;2.273621979E0
2.604026750E0;5.061724091E0;-1.103684875E1;1.057850189E0
2.614058750E0;5.985453186E0;-9.967472534E0;-2.306703186E-1
2.624091750E0;6.054160309E0;-9.517208862E0;-1.429976349E0
2.634123750E0;3.892954559E0;-1.011985565E1;-1.867067413E0
2.644156750E0;1.815125427E0;-1.100092346E1;-6.792874146E-1
2.654188750E0;1.477128296E0;-1.146720383E1;6.295907593E-1
2.664221750E0;2.323917389E0;-1.144789398E1;1.939067688E0
2.674253750E0;3.507206726E0;-1.129910339E1;2.734962616E0
2.684285750E0;4.204756165E0;-1.158994858E1;2.885549469E0
2.694318750E0;3.830684052E0;-1.180145874E1;1.758094025E0
2.704350750E0;3.966451721E0;-1.197839081E1;1.084794159E0
2.714383750E0;5.016667786E0;-1.193303513E1;1.205592957E0
2.724415750E0;4.916076965E0;-1.103954315E1;9.506730652E-1
2.734448750E0;4.751718750E0;-1.048329987E1;7.753875732E-2
2.744480750E0;4.602030029E0;-1.019200562E1;9.864486694E-2
2.754512750E0;4.619094543E0;-9.801617432E0;4.852908325E-1
2.764545750E0;4.556973724E0;-9.224417725E0;7.714956665E-1
2.774577750E0;4.602179718E0;-8.135132904E0;6.325845337E-1
2.784610750E0;4.645739136E0;-7.185058594E0;3.757186890E-2
2.794642750E0;4.317172394E0;-6.781497803E0;-6.975494385E-1
2.804675750E0;4.645739136E0;-7.190746765E0;-1.037492523E0
2.814707750E0;5.724845123E0;-8.609945526E0;-1.480421448E0
2.824739750E0;4.618346100E0;-9.809850311E0;3.566633148E0
2.834772750E0;4.894821167E0;-9.177265778E0;4.208199005E0
2.844804750E0;2.509232025E0;-1.046818130E1;5.576503601E0
2.854837750E0;-2.984793091E-1;-9.691745911E0;6.309828644E0
2.864869750E0;6.107299805E-1;-5.552703094E0;3.370241547E0
2.874902750E0;1.570084991E0;-2.793041840E0;2.519261169E-1
2.884934750E0;1.614392853E0;-9.669891357E-1;-1.090781708E0
2.894966750E0;2.198777618E0;-3.055146790E-1;-7.473957825E-1
2.904999750E0;1.708097992E0;-3.122506714E-1;-7.923023987E-1
2.915031750E0;2.080673218E-1;-8.110134888E-1;-5.209167480E-1
2.925064750E0;-1.184486847E0;-2.250569916E0;-3.743714905E-1
2.935096750E0;-4.185296631E-1;-2.935096436E0;-4.996609497E-1
2.945129750E0;9.723779297E-1;-2.946323090E0;-4.535568237E-2
2.955161750E0;9.424401855E-1;-3.760480042E0;2.685415649E-1
2.965193750E0;1.969304810E0;-5.694757690E0;2.227517853E0
2.975226750E0;4.227658539E0;-6.692433014E0;3.110531616E0
2.985258750E0;7.175478516E0;-7.472011871E0;1.191372528E0
2.995291750E0;8.659043427E0;-7.419620819E0;-7.984396362E-1
3.005323750E0;9.472302246E0;-8.355175323E0;-2.420316925E0
3.015356750E0;8.095315704E0;-1.071726334E1;-4.327201538E0
3.025388750E0;5.602549438E0;-1.128458359E1;-2.834954681E0
3.035420750E0;5.131479034E0;-9.435927887E0;-2.469115448E0
3.045453750E0;5.248236237E0;-7.946525116E0;-3.264411621E0
3.055485750E0;5.824238434E0;-8.416547699E0;-7.506889343E-1
3.065518750E0;6.591393127E0;-9.891131287E0;1.435065765E0
3.075550750E0;6.383774872E0;-1.093027039E1;1.539548492E0
3.085583750E0;7.868088226E0;-1.056158707E1;4.905299377E-1
3.095615750E0;9.093440094E0;-1.026804749E1;-8.502319336E-2
3.105647750E0;1.096215408E1;-1.093476105E1;5.104385376E-1
3.115680750E0;1.287308029E1;-1.099523529E1;1.002914429E0
3.125712750E0;1.354458389E1;-9.543554077E0;6.433621216E-1
3.135745750E0;1.140987305E1;-6.734196167E0;-4.670288086E-2
3.145777750E0;9.324110413E0;-4.258344727E0;-1.141975250E0
3.155810750E0;9.243877258E0;-6.571783905E0;-2.629731445E0
3.165842750E0;1.099583405E1;-9.451345825E0;-3.959116974E0
3.175874750E0;1.211101501E1;-1.111977631E1;-4.013004913E0
3.185907750E0;8.477770386E0;-1.274150391E1;-2.252366180E0
3.195939750E0;4.881798248E0;-1.308668610E1;-1.343156891E0
3.205972750E0;5.949976959E0;-1.144340332E1;-9.499246216E-1
3.216004750E0;9.165590057E0;-1.118923187E1;5.873785400E-1
3.226037750E0;1.116872452E1;-1.607432327E1;-9.071136475E-2
3.236069750E0;7.417525177E0;-1.799318298E1;1.139131165E0
3.246101750E0;-1.781146088E0;-1.696257614E1;5.284760284E0
3.256134333E0;-8.749006348E0;-1.811922089E1;9.527387695E0
3.266166333E0;-5.593867493E-1;-1.652189255E1;7.125183105E0
3.276199333E0;5.156626740E0;-1.454465424E1;3.826193390E0
3.286231333E0;4.102518768E0;-1.312560516E1;2.275268555E-1
3.296263333E0;2.327210541E0;-1.153665939E1;-6.393055573E0
3.306296333E0;4.704716492E-1;-7.881560211E0;-1.570653809E1
3.316328333E0;4.760101318E-1;-3.135230255E0;-1.291424469E1
3.326361333E0;3.760180664E0;-3.980821838E0;-6.493945770E0
3.336393333E0;5.591472473E0;-6.125412140E0;-2.709814911E0
3.346426333E0;6.309678955E0;-7.120542755E0;1.218466187E-1
3.356458333E0;7.595505066E0;-7.402855682E0;3.688330078E-1
3.366490333E0;9.500294037E0;-6.484964447E0;-5.180726624E-1
3.376523333E0;1.026819717E1;-5.801485748E0;-6.566844177E-1
3.386555333E0;9.822723541E0;-5.873785400E0;-1.390159149E0
3.396588333E0;8.954229584E0;-6.030958557E0;-2.195185089E0
3.406620333E0;7.801776123E0;-5.611979828E0;-1.982776794E0
3.416653333E0;7.169490967E0;-5.420228577E0;-1.382375336E0
3.426685333E0;5.996380463E0;-5.634582825E0;-9.749226379E-1
3.436717333E0;5.148244171E0;-5.516179047E0;-4.574487305E-1
3.446750333E0;4.145479431E0;-5.503305817E0;-2.906954956E-1
3.456782333E0;2.520009613E0;-5.111420746E0;-5.216651917E-1
3.466815333E0;7.774832153E-1;-4.186494141E0;-5.870791626E-1
3.476847333E0;2.471360779E-1;-1.002315674E0;-1.017883301E0
3.486880333E0;8.698411560E-1;3.052452393E0;-4.004622345E0
3.496912333E0;5.149291992E-1;1.506916351E0;-5.817951508E0
3.506944333E0;-2.492317200E0;-2.590662689E0;-4.962630157E0
3.516977333E0;-2.623893585E0;-4.435725861E0;-5.171894989E0
3.527009333E0;6.529421997E-1;-4.472100220E0;-4.506828003E0
3.537042333E0;4.053720245E0;-7.043303375E0;-2.504292297E0
3.547074333E0;6.351891174E0;-5.302124176E0;-1.689985657E0
3.557107333E0;6.365961914E0;-4.093836823E0;-2.581980743E0
3.567139333E0;6.676416321E0;-5.941744080E0;-2.665207672E0
3.577171333E0;8.441695404E0;-7.057523804E0;-2.340981903E0
3.587204333E0;8.920250244E0;-7.812703400E0;-3.733236694E0
3.597236333E0;8.367599487E0;-8.605155487E0;-4.646038513E0
3.607269333E0;8.760083313E0;-9.206604767E0;-4.793781281E0
3.617301333E0;8.169561310E0;-9.696386261E0;-4.833149414E0
3.627333333E0;7.375163269E0;-1.035022659E1;-4.885241089E0
3.637366333E0;7.425159302E0;-1.038016434E1;-5.222789154E0
3.647398333E0;7.048392792E0;-1.117037109E1;-4.652924194E0
3.657431333E0;7.611671448E0;-1.269569916E1;-5.235363007E0
3.667463333E0;8.455766144E0;-1.383991974E1;-5.816005554E0
3.677496333E0;8.046816559E0;-1.326721069E1;-4.794829102E0
3.687528333E0;7.344177704E0;-1.226594284E1;-3.451971588E0
3.697560333E0;6.428980865E0;-1.163665146E1;-1.834734650E0
3.707593333E0;5.088218994E0;-1.026131149E1;-6.111790466E-1
3.717625333E0;3.910468140E0;-1.133607651E1;-2.805166626E-1
3.727658333E0;4.067790985E0;-1.278057266E1;-3.978726196E-1
3.737690333E0;4.927004242E0;-1.190070236E1;-1.029559021E0
3.747723333E0;4.371659088E0;-1.014380585E1;-2.093247070E0
3.757755333E0;3.321143646E0;-7.931556244E0;-3.352129211E0
3.767787333E0;2.179318085E0;-8.769064636E0;-4.492906952E0
3.777820333E0;2.412982178E0;-1.056817337E1;-4.200415192E0
3.787852333E0;5.055886230E0;-1.138906631E1;-2.918331299E0
3.797885333E0;6.312672729E0;-1.175295959E1;-1.112935638E0
3.807917333E0;6.428082733E0;-1.077085190E1;2.716850281E-1
3.817949333E0;5.021607513E0;-9.516460419E0;9.533674622E-1
3.827982333E0;3.976031799E0;-7.916287994E0;1.172362061E0
3.838014333E0;4.013304291E0;-7.688461761E0;1.408421173E0
3.848047333E0;3.730841675E0;-8.363557892E0;6.301895142E-1
