"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
6.821340130E-1;1.578006744E1;-2.488535643E0;6.117250919E0
6.845833360E-1;1.534188175E1;-2.316252232E0;5.726922035E0
6.870318250E-1;1.498505211E1;-2.165504456E0;5.221737385E0
6.894795340E-1;1.466680622E1;-2.124527454E0;4.838885784E0
6.919280750E-1;1.469791317E1;-2.019243240E0;4.247559071E0
6.943773980E-1;1.548545074E1;-1.744068623E0;3.318545818E0
6.968258880E-1;1.565085506E1;-1.576271892E0;3.007179976E0
6.992735440E-1;1.548066521E1;-1.581057549E0;2.741576433E0
7.017221380E-1;1.523181152E1;-1.684248090E0;2.061715841E0
7.041714610E-1;1.490369606E1;-1.885245085E0;1.180558920E0
7.066199500E-1;1.439372540E1;-2.175075769E0;8.814560175E-1
7.090676070E-1;1.381197071E1;-2.438286304E0;3.930211067E-1
7.115162000E-1;1.329721451E1;-2.699103832E0;-9.541380405E-2
7.139654710E-1;1.294786263E1;-3.000898600E0;-6.795616150E-1
7.164140130E-1;1.273699474E1;-3.249752283E0;-1.412363529E0
7.188616690E-1;1.252881908E1;-3.393620729E0;-2.089831591E0
7.213102110E-1;1.227278709E1;-3.381656647E0;-2.494218588E0
7.237595340E-1;1.197817135E1;-3.216252804E0;-2.568695068E0
7.262080750E-1;1.162134171E1;-2.955435038E0;-2.551945448E0
7.286557320E-1;1.111167049E1;-2.720938444E0;-2.362613201E0
7.311042730E-1;1.058255768E1;-2.610569477E0;-2.032403708E0
7.335535960E-1;9.984052658E0;-2.593819857E0;-1.543968797E0
7.360020860E-1;9.232108116E0;-2.783151865E0;-1.033998489E0
7.384497420E-1;8.561818123E0;-2.993720293E0;-5.455635786E-1
7.408983360E-1;7.956135273E0;-3.317050457E0;-2.222333997E-1
7.433476590E-1;7.517949581E0;-3.604189157E0;-3.230310678E-1
7.457961480E-1;7.206882477E0;-3.949054718E0;-3.613162339E-1
7.482438050E-1;7.017550468E0;-4.176373005E0;-3.278166950E-1
7.506923980E-1;6.780661106E0;-4.537988186E0;-3.110669553E-1
7.531416690E-1;6.545865536E0;-4.813162804E0;-3.206382394E-1
7.555902110E-1;6.198905945E0;-5.014459133E0;-1.791625917E-1
7.580378670E-1;5.923432350E0;-5.062315464E0;4.336991161E-2
7.604864610E-1;5.739185333E0;-5.105386257E0;4.863412082E-1
7.629357320E-1;5.617151260E0;-5.158028126E0;9.963115454E-1
7.653842730E-1;5.583651543E0;-5.119743347E0;1.379163146E0
7.678319300E-1;5.521438122E0;-5.114957333E0;1.692921996E0
7.702804710E-1;5.454140186E0;-5.177170753E0;1.819741607E0
7.727297940E-1;5.499902725E0;-5.241776943E0;2.016252279E0
7.751782840E-1;5.600401402E0;-5.349453926E0;2.281855583E0
7.776259920E-1;5.514259815E0;-5.545964718E0;2.669791937E0
7.800745340E-1;5.485546112E0;-5.849853039E0;3.189333439E0
7.825238570E-1;5.533402443E0;-6.089434624E0;3.576970816E0
7.849723460E-1;5.660222054E0;-6.407680035E0;3.864408493E0
7.874200030E-1;5.904289722E0;-6.814758778E0;4.046263218E0
7.898685960E-1;6.210870266E0;-7.125825882E0;4.113262177E0
7.923178670E-1;6.594020844E0;-7.296015263E0;4.254737854E0
7.947664090E-1;6.955337048E0;-7.374978542E0;4.345664978E0
7.972140650E-1;7.343273640E0;-7.511369228E0;4.637589455E0
7.996626590E-1;7.812565804E0;-7.554440022E0;4.896313190E0
8.021119300E-1;8.068597794E0;-7.571189880E0;4.908277512E0
8.045604710E-1;8.135597229E0;-7.564011574E0;4.972883701E0
8.070081280E-1;7.936992645E0;-7.607082367E0;5.097310543E0
8.094566690E-1;7.561020374E0;-7.827520847E0;5.279164791E0
8.119059920E-1;7.197311401E0;-8.248658180E0;5.169095039E0
8.143545340E-1;7.106084824E0;-8.531310081E0;5.003990173E0
8.168021900E-1;7.156633377E0;-8.849555016E0;4.773980141E0
8.192507320E-1;7.340880871E0;-9.060422897E0;4.367200375E0
8.217000550E-1;7.604091167E0;-9.151350021E0;3.768695593E0
8.241485440E-1;8.025527000E0;-9.125029564E0;3.146262646E0
8.265962530E-1;8.020741463E0;-9.122636795E0;2.408675194E0
8.290447940E-1;7.288238525E0;-9.148957253E0;2.001895189E0
8.314941170E-1;6.134299755E0;-9.544072151E0;2.128714800E0
8.339426070E-1;4.946861744E0;-1.001815033E1;3.019144058E0
8.363902630E-1;3.751945972E0;-1.078893852E1;3.428615808E0
8.388388570E-1;2.890230656E0;-1.104257774E1;4.427021027E0
8.412881800E-1;2.440080881E0;-1.152144146E1;4.496412754E0
8.437366690E-1;2.100300074E0;-1.088943672E1;5.511568069E0
8.461843250E-1;2.191227436E0;-9.965209007E0;5.669494152E0
8.486328670E-1;2.813660383E0;-8.698807716E0;5.966503143E0
8.510821900E-1;3.237488985E0;-8.239086151E0;5.530710220E0
8.535307320E-1;3.498306751E0;-7.944769382E0;5.116453171E0
8.559783880E-1;3.804887056E0;-7.863413334E0;4.982454777E0
8.584269300E-1;4.283451557E0;-8.363812447E0;4.264308929E0
8.608762530E-1;4.743172646E0;-8.648558617E0;3.929014683E0
8.633247420E-1;4.975575447E0;-9.266205788E0;3.895515203E0
8.657724500E-1;5.064109802E0;-9.900602341E0;4.098905087E0
8.682209920E-1;5.147858620E0;-1.038185883E1;3.878765583E0
8.706703150E-1;5.253142834E0;-1.061665535E1;3.627219915E0
8.731188050E-1;5.214858055E0;-1.045603657E1;3.469293833E0
8.755664610E-1;5.033003330E0;-9.950852394E0;3.648755312E0
