"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
7.714297940E-1;-3.787253052E-2;-9.182561636E-1;2.006022453E0
7.738782840E-1;1.343864016E-2;-9.549070001E-1;1.966928124E0
7.763259920E-1;5.986303091E-2;-9.903361201E-1;1.920503736E0
7.787745340E-1;1.050657257E-1;-1.013548255E0;1.876522779E0
7.812238570E-1;1.502684206E-1;-1.024543524E0;1.832541823E0
7.836723460E-1;1.954711229E-1;-1.023321867E0;1.786117435E0
7.861200030E-1;2.309002578E-1;-1.017213345E0;1.742136359E0
7.885685960E-1;2.577775419E-1;-1.007439852E0;1.700598717E0
7.910178670E-1;2.785463631E-1;-9.903361201E-1;1.661504507E0
7.934664090E-1;2.895416021E-1;-9.610154629E-1;1.619966984E0
7.959140650E-1;2.870981991E-1;-9.255862832E-1;1.575985909E0
7.983626590E-1;2.834331393E-1;-8.620582223E-1;1.529561520E0
8.008119300E-1;2.687727809E-1;-7.765395641E-1;1.475806952E0
8.032604710E-1;2.406738251E-1;-6.946860552E-1;1.420830727E0
8.057081280E-1;2.125748396E-1;-6.055023670E-1;1.367076159E0
8.081566690E-1;1.881409585E-1;-5.016583204E-1;1.318208337E0
8.106059920E-1;1.685938388E-1;-3.978142738E-1;1.276670814E0
8.130545340E-1;1.600419879E-1;-2.988570333E-1;1.238798261E0
8.155021900E-1;1.539335102E-1;-2.243336588E-1;1.205812454E0
8.179507320E-1;1.551551968E-1;-1.681357026E-1;1.169161677E0
8.204000550E-1;1.612636745E-1;-1.437018216E-1;1.123958945E0
8.228485440E-1;1.612636745E-1;-1.608055383E-1;1.068982720E0
8.252962530E-1;1.563768983E-1;-2.084516287E-1;9.993461370E-1
8.277447940E-1;1.466033459E-1;-2.878617644E-1;9.309312105E-1
8.301941170E-1;1.490467340E-1;-3.709369898E-1;8.820634484E-1
8.326426070E-1;1.771457046E-1;-4.503471553E-1;8.515210748E-1
8.350902630E-1;2.382304370E-1;-5.187620521E-1;8.515210748E-1
8.375388570E-1;3.420744538E-1;-5.981721878E-1;8.771766424E-1
8.399881800E-1;4.740174711E-1;-6.885775924E-1;9.260444641E-1
8.424366690E-1;6.536065936E-1;-7.997517586E-1;1.006676316E0
8.448843250E-1;8.331956863E-1;-9.145910740E-1;1.094638348E0
8.473328670E-1;1.014006495E0;-9.964445829E-1;1.182600260E0
8.497821900E-1;1.165496588E0;-1.040425539E0;1.243685007E0
8.522307320E-1;1.291331053E0;-1.083184958E0;1.286444306E0
8.546783880E-1;1.393953443E0;-1.129609346E0;1.336533785E0
8.571269300E-1;1.477028728E0;-1.179698825E0;1.401283622E0
8.595762530E-1;1.532004952E0;-1.244448543E0;1.473363638E0
8.620247420E-1;1.558882236E0;-1.276212692E0;1.552773714E0
8.644724500E-1;1.573542595E0;-1.276212692E0;1.646844268E0
8.669209920E-1;1.563768983E0;-1.239561796E0;1.749466538E0
8.693703150E-1;1.533226609E0;-1.190693974E0;1.850867152E0
8.718188050E-1;1.480693698E0;-1.130831003E0;1.940050840E0
8.742664610E-1;1.411057115E0;-1.047755718E0;2.010909081E0
8.767150550E-1;1.325538516E0;-9.402466416E-1;2.058555365E0
8.791643780E-1;1.227802992E0;-8.706100583E-1;2.091541052E0
8.816128670E-1;1.119072199E0;-8.510629535E-1;2.131856918E0
8.840605230E-1;9.993461370E-1;-8.571714163E-1;2.174616337E0
8.865091170E-1;8.747332692E-1;-8.730534315E-1;2.217375517E0
8.889583880E-1;7.488987446E-1;-8.803836107E-1;2.260134935E0
8.914069300E-1;6.218425035E-1;-8.718317747E-1;2.304115772E0
8.938545860E-1;4.886777997E-1;-8.473978639E-1;2.355427027E0
8.963031800E-1;3.579564989E-1;-8.266290426E-1;2.414068460E0
8.987524500E-1;2.345653474E-1;-8.657232523E-1;2.480039835E0
9.012009920E-1;1.209477559E-1;-9.683456421E-1;2.553341627E0
9.036486480E-1;1.588202827E-2;-1.136939406E0;2.620534658E0
9.060971900E-1;-7.574506104E-2;-1.350736022E0;2.664515734E0
9.085465130E-1;-1.551551968E-1;-1.584079623E0;2.668180943E0
9.109950550E-1;-2.272351831E-1;-1.784437537E0;2.677954435E0
9.134427110E-1;-2.846548259E-1;-1.911493778E0;2.703609943E0
9.158912530E-1;-3.225273490E-1;-1.986017108E0;2.741482496E0
9.183405750E-1;-3.567348123E-1;-2.012894392E0;2.785463572E0
9.207890650E-1;-3.750602305E-1;-2.004342556E0;2.837996483E0
9.232367210E-1;-3.872771561E-1;-1.973800182E0;2.891750813E0
9.256853150E-1;-3.884988427E-1;-1.928597450E0;2.944436550E0
9.281346380E-1;-3.836120665E-1;-1.866291046E0;2.990860939E0
9.305831280E-1;-3.836120665E-1;-1.802762985E0;3.031176805E0
9.330307840E-1;-3.933856487E-1;-1.745343328E0;3.067827702E0
9.354793780E-1;-4.104893506E-1;-1.695253849E0;3.103256702E0
9.379287000E-1;-4.398100376E-1;-1.665933132E0;3.137464285E0
9.403771900E-1;-4.789042473E-1;-1.661046386E0;3.172893286E0
9.428248460E-1;-5.314370990E-1;-1.684258580E0;3.208322525E0
9.452734400E-1;-5.876350403E-1;-1.738013148E0;3.243751764E0
9.477227110E-1;-6.536065936E-1;-1.817423344E0;3.285289288E0
9.501712530E-1;-7.159129977E-1;-1.923710704E0;3.329270363E0
9.526189090E-1;-7.806627750E-1;-2.054432154E0;3.370807886E0
9.550674500E-1;-8.466343284E-1;-2.202257156E0;3.416010618E0
9.575167730E-1;-9.040539265E-1;-2.371003628E0;3.464878321E0
9.599653150E-1;-9.626953006E-1;-2.551814318E0;3.516189575E0
9.624129710E-1;-1.010341406E0;-2.747285604E0;3.572387457E0
