iso3	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
MKD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95	90	95	98	97	90	97	97	97	91	95	94	99	92	95	94	98	96	94	95	97	99	94	99	97	93	93	93	93	93
OMN	51	54	77	77	79	93	95	97	96	95	96	94	96	95	96	96	96	96	96	98	98	98	98	98	99	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
PAK	6	11	12	35	55	62	69	72	77	80	80	80	80	77	75	73	59	62	66	70	74	78	82	80	78	78	77	77	75	74	74	83	84	84	85	86	86	86	90	93	91	93	95
PAN	99	98	83	81	89	94	92	90	92	87	97	87	84	92	95	99	99	99	99	99	99	99	99	99	99	99	98	97	98	99	99	99	98	95	99	99	99	99	99	99	99	99	99
PNG	62	64	50	58	66	66	76	74	80	82	92	89	82	94	85	91	80	88	86	82	88	81	84	89	89	90	90	81	80	89	88	91	91	93	84	67	72	62	52	45	52	42	48
PRY	31	42	47	55	80	68	51	66	56	66	75	78	84	80	82	82	83	83	84	85	85	86	83	88	97	98	99	98	94	91	93	94	93	91	96	96	94	96	91	87	84	79	79
PER	57	63	65	61	64	63	54	61	70	62	83	78	85	87	91	94	99	98	96	97	93	87	92	94	95	95	96	96	97	97	95	91	95	95	94	91	90	91	93	94	87	87	89
PHL	56	61	66	69	71	76	84	90	95	96	96	97	94	91	86	82	86	91	92	92	92	92	85	86	91	91	91	90	91	92	93	94	95	92	88	85	90	83	77	70	64	47	63
POL	93	93	93	95	95	95	95	95	95	95	97	94	95	95	94	98	97	96	96	96	96	95	95	93	94	94	94	93	93	94	93	94	94	93	92	94	93	92	92	92	91	92	92
PRT	NA	74	76	76	79	82	71	78	86	87	88	89	92	91	87	94	87	87	88	85	82	82	81	81	83	89	99	98	98	98	96	97	99	99	99	32	NA	NA	NA	NA	NA	NA	NA
QAT	4	28	44	69	73	76	84	85	85	79	97	98	99	99	96	96	98	99	99	99	99	99	99	99	99	99	99	96	97	98	99	97	97	98	90	97	97	99	99	99	98	99	99
KOR	NA	42	44	45	47	47	47	54	57	70	72	77	83	88	93	93	92	91	75	74	73	81	89	87	93	97	98	96	96	96	96	99	99	99	99	97	98	98	98	98	98	98	98
MDA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92	92	94	95	97	97	98	99	99	99	99	99	99	97	99	98	98	96	98	98	99	96	97	97	97	96	96	94	95	98	93
ROU	NA	NA	NA	NA	NA	NA	93	95	93	90	90	99	99	99	99	99	99	99	99	99	99	99	99	99	99	98	99	99	99	99	99	99	99	98	98	98	84	97	96	96	97	97	97
RUS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86	87	92	92	93	94	95	96	96	96	97	97	96	97	97	97	96	96	96	95	96	96	96	96	96	95	95	96	95	95	96
RWA	NA	51	50	49	66	83	92	92	91	92	92	94	94	82	32	89	93	96	95	94	81	74	81	88	86	91	98	89	93	99	99	99	99	99	99	99	99	98	97	98	89	89	98
KNA	NA	NA	NA	NA	NA	NA	NA	NA	75	78	80	83	86	88	91	94	96	99	99	99	99	95	99	99	89	99	99	97	95	93	91	99	95	94	99	95	96	97	97	99	98	96	93
LCA	27	44	60	69	80	99	73	89	85	99	94	95	99	95	99	98	89	99	85	99	91	99	95	95	99	97	94	99	99	97	97	99	99	99	89	99	96	88	99	95	89	81	89
VCT	NA	NA	NA	NA	32	84	76	90	95	99	99	99	99	99	99	99	99	98	99	99	99	99	91	87	99	95	99	93	87	80	90	99	97	96	98	99	99	99	99	99	99	62	62
WSM	72	84	96	99	97	97	97	98	97	80	97	95	91	94	97	96	98	99	99	99	97	98	98	73	93	86	84	91	98	92	87	95	90	90	92	86	81	89	68	96	99	92	96
STP	NA	95	90	86	82	75	99	88	88	94	99	99	83	77	86	95	85	70	80	81	81	92	96	99	99	98	98	98	99	99	99	99	99	97	95	97	92	94	96	95	94	93	93
SAU	33	49	56	72	88	89	90	91	93	96	90	85	91	93	94	94	91	91	92	92	94	94	98	94	95	96	95	96	98	98	98	98	99	99	98	98	98	97	98	52	95	94	98
SEN	NA	NA	NA	NA	NA	NA	92	92	91	90	90	80	80	80	80	91	81	81	81	90	89	89	70	77	95	92	94	96	98	97	97	97	97	97	95	95	97	99	94	95	95	87	87
SRB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97	97	97	97	97	96	89	82	85	88	91	94	97	98	99	98	99	98	99	99	98	97	98	98	98	97	98	98	98	98	96
SYC	NA	67	83	98	95	92	94	94	94	94	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	96	99	99	99	99	98	99	99	99	97	98	99	99	99
SLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73	74	63	76	89	86	85	83	82	91	96	97	97	98	99	90	90	92	90	88	86	72	74	73
SGP	85	83	87	83	93	93	99	98	99	99	99	99	99	98	97	98	98	98	98	99	99	98	98	99	99	98	98	99	99	99	99	99	99	99	99	99	99	99	99	98	98	98	98
SVK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	92	96	95	93	96	94	93	98	98	98	98	98	98	98	97	98	97	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SVN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	99	99	99	98	97	98	96	98	98	97	97	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLB	65	43	36	39	61	50	47	66	79	82	87	83	75	66	76	77	96	73	74	99	99	94	87	93	99	96	99	98	92	92	91	94	85	82	81	79	80	78	83	77	82	83	88
