"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
3.101884750E0;-1.765492797E0;1.807634592E0;-5.550549030E-1
3.111917750E0;-1.861647844E0;2.603362083E0;-9.980373979E-1
3.121949750E0;-1.806020260E0;3.106084108E0;-1.733564615E0
3.131981750E0;-1.848320365E0;3.169868231E0;-1.886929512E0
3.142014750E0;-2.193849325E0;3.231408119E0;-1.662373066E0
3.152046750E0;-2.902377605E0;2.819713831E0;-1.164645910E0
3.162079750E0;-3.631670713E0;1.573477268E0;-5.439310074E-1
3.172111750E0;-3.906744957E0;-3.129469454E-1;4.476253390E-1
3.182144750E0;-3.414555788E0;-1.946881533E0;1.972299933E0
3.192176750E0;-2.500636816E0;-3.454863071E0;3.213616371E0
3.202208750E0;-1.357150555E0;-4.205852509E0;3.442406416E0
3.212241750E0;3.589938283E-1;-4.417631149E0;1.200582027E0
3.222273750E0;2.105046511E0;-5.611977577E0;-2.294988632E0
3.232306750E0;2.996175051E0;-5.893455029E0;-3.936744213E0
3.242338750E0;3.717162132E0;-4.175309658E0;-2.073712349E0
3.252371750E0;3.851596355E0;-2.773582935E0;3.896888196E-1
3.262403333E0;2.814803362E0;-2.039127588E0;1.118797302E0
3.272435333E0;1.431561470E0;-1.356015086E0;1.874033511E-1
3.282468333E0;9.300706387E-1;8.990035057E-1;-1.209029198E0
3.292500333E0;6.613072753E-1;3.192531109E0;-2.003480196E0
3.302533333E0;-8.241895437E-1;3.317278147E0;-1.891668081E0
3.312565333E0;-2.217849970E0;2.978828192E0;-1.427954555E0
3.322598333E0;-2.734431744E0;2.044239521E0;-8.142181039E-1
3.332630333E0;-2.336391211E0;1.275626898E0;-2.269731760E-1
3.342662333E0;-1.537871122E0;6.973555088E-1;1.354132593E-1
3.352695333E0;-8.935350776E-1;6.056917459E-2;2.459282875E-1
3.362727333E0;-4.374815226E-1;-5.594773293E-1;1.037671566E-1
3.372760333E0;-1.707320511E-1;-8.208335638E-1;-2.422793768E-3
3.382792333E0;-6.659046561E-2;-9.574233890E-1;2.639047801E-2
3.392825333E0;3.850471973E-2;-1.126004815E0;1.504926383E-1
3.402857333E0;2.833051682E-1;-1.285528421E0;2.652034760E-1
3.412889333E0;6.650628448E-1;-1.717557192E0;3.692806959E-1
3.422922333E0;1.093756676E0;-2.238200426E0;4.762233794E-1
3.432954333E0;1.443232536E0;-2.597754478E0;5.204982162E-1
3.442987333E0;1.719777226E0;-2.934238195E0;4.763927758E-1
3.453019333E0;1.890718937E0;-3.128004074E0;2.561448812E-1
3.463051333E0;1.890423536E0;-2.959999561E0;-1.733758748E-1
3.473084333E0;1.468078256E0;-2.069288969E0;-1.125782967E0
3.483116333E0;2.518708110E-1;-1.702280045E0;-1.705411673E0
3.493149333E0;-2.866135240E-1;-8.950583935E-1;-7.342295647E-1
3.503181333E0;-6.565564275E-1;-2.602766827E-2;2.733204365E-1
3.513214333E0;-1.301051736E0;1.786385477E-1;9.423800707E-1
3.523246333E0;-1.461128473E0;5.912091136E-1;8.667401671E-1
3.533278333E0;-9.522233009E-1;1.704953432E0;2.478761785E-2
3.543311333E0;-8.628265858E-1;2.260433197E0;-4.789133370E-1
3.553343333E0;-1.099889040E0;2.042710543E0;-3.065573871E-1
3.563376333E0;-8.853639364E-1;1.660694480E0;-2.495497931E-3
3.573408333E0;-2.554877996E-1;8.713970184E-1;-9.150779992E-2
3.583441333E0;-3.076120652E-2;-2.447760999E-1;-1.345047951E-1
3.593473333E0;-2.293082187E-3;-1.234328270E0;-8.691480756E-2
3.603505333E0;-1.857655239E-3;-2.141915798E0;-3.933849558E-2
3.613538333E0;1.524902531E-3;-2.836626530E0;3.313151896E-1
3.623570333E0;-1.694731601E-2;-3.157572031E0;6.595021486E-1
3.633603333E0;1.975512877E-2;-2.970903397E0;8.953534365E-1
3.643635333E0;3.268964291E-1;-1.960935235E0;1.214143276E0
3.653667333E0;1.912612915E-1;-1.674151778E0;1.384778023E0
3.663700333E0;-1.824465245E-1;-1.611281991E0;1.375778437E0
3.673732333E0;-4.375431836E-1;-1.036720872E0;1.296600342E0
3.683765333E0;-6.310538054E-1;-3.368225992E-1;1.195625424E0
3.693797333E0;-7.656278610E-1;4.312151372E-1;1.000568748E0
3.703830333E0;-5.714272261E-1;7.603389621E-1;9.281103015E-1
3.713862333E0;1.794254184E-1;5.040951371E-1;1.079566360E0
3.723894333E0;9.508630037E-1;-1.959758811E-4;1.325648546E0
3.733927333E0;1.414222240E0;-7.141191363E-1;1.399808168E0
3.743959333E0;1.468648195E0;-9.047175646E-1;1.182493687E0
3.753992333E0;1.134262800E0;-6.731387973E-1;7.466315627E-1
3.764024333E0;6.309192181E-1;4.331199080E-2;5.384413004E-1
3.774057333E0;1.126305982E-1;7.854524255E-1;3.911812603E-1
3.784089333E0;-2.112870216E-1;1.215550780E0;2.002746761E-1
3.794121333E0;-2.696220577E-1;1.390329599E0;1.824108325E-2
3.804154333E0;-2.338725701E-2;1.249474525E0;-1.293528974E-1
3.814186333E0;2.432871908E-1;9.467166066E-1;-2.098143697E-1
3.824219333E0;4.974637926E-1;8.748844862E-1;-2.517682314E-1
3.834251333E0;7.923178077E-1;8.252829909E-1;-2.933345437E-1
3.844284333E0;1.070411205E0;6.783721447E-1;-3.109734356E-1
3.854316333E0;1.204773784E0;4.867130518E-1;-2.747023106E-1
3.864348333E0;1.174358368E0;4.393026531E-1;-3.416648209E-1
3.874381333E0;1.042954922E0;5.411750674E-1;-5.925293565E-1
3.884413333E0;7.724912167E-1;7.578951716E-1;-8.036040664E-1
