"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3.834251333E0;-1.763081700E-2;1.066156159E0;3.967241388E0
3.844284333E0;-2.549500045E-1;4.287359780E-1;3.410054069E0
3.854316333E0;-1.985141408E-1;-8.947117031E-2;2.200991813E0
3.864348333E0;-1.432567835E-2;-5.961236358E-1;9.415326977E-1
3.874381333E0;-1.959138840E-2;1.146591627E0;1.825731692E-1
3.884413333E0;-1.219807245E0;3.530632426E0;-5.308614001E-1
3.894446333E0;-2.793889686E0;4.865695601E0;-8.984735093E-1
3.904478333E0;-3.916098424E0;5.737234204E0;-7.788011777E-1
3.914511333E0;-4.525937581E0;7.390293524E0;-4.284209593E-1
3.924543333E0;-4.160057417E0;7.344287632E0;2.288296151E-1
3.934575333E0;-5.106166438E0;4.618412173E0;1.291832225E0
3.944608333E0;-5.180096294E0;4.404139202E0;2.011906600E0
3.954640333E0;-3.491595830E0;5.977392215E0;1.630438928E0
3.964673333E0;-2.172796685E0;6.184285415E0;1.223484121E0
