"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
3.710624542E0;1.964402556E0;-2.480918884E0;7.673373222E-1
3.720586542E0;2.193829536E0;-1.562663317E0;2.124274075E-1
3.730547542E0;2.010887623E0;-4.259662926E-1;-2.562058531E-2
3.740509542E0;1.556564093E0;2.719935775E-1;-1.516859829E-1
3.750471542E0;1.206298947E0;6.110469699E-1;-2.678232193E-1
3.760432542E0;1.160705328E0;7.315151095E-1;-3.421652019E-1
3.770394542E0;1.290392756E0;7.066289186E-1;-3.341906369E-1
3.780355542E0;1.441904068E0;5.945323110E-1;-2.562364340E-1
3.790317542E0;1.580193996E0;5.136172175E-1;-1.415290087E-1
3.800278542E0;1.633866668E0;3.288678527E-1;1.532586757E-2
3.810240542E0;1.631644249E0;6.401354820E-2;1.484897733E-1
3.820202542E0;1.585634708E0;-1.610202938E-1;2.180751115E-1
3.830163542E0;1.422954082E0;-2.203869522E-1;1.912368387E-1
3.840125542E0;1.080254078E0;6.946335547E-3;1.380899101E-1
3.850086542E0;6.404466033E-1;4.160917699E-1;1.914087981E-1
3.860048542E0;2.624710500E-1;6.980421543E-1;2.536199987E-1
